2023-10-26 22:13:52,110 | ERROR   | sml_to_mqtt.py line=143 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-26 22:13:57,125 | ERROR   | sml_to_mqtt.py line=143 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-26 22:14:20,052 | INFO    | sml_to_mqtt.py line=151 | Starting SmlClient with {'port': '/dev/ttyUSB0', 'baudrate': 9600, 'timeout': 3, 'max_update_interval': 3600, 'offsets': {'energy_imported': 171, 'energy_exported': 202}}
2023-10-26 22:14:20,067 | INFO    | mqtt_device.py line=120 | Successfully connected to broker
2023-10-26 22:14:20,067 | INFO    | mqtt_device.py line=113 | publish config topic=homeassistant/sensor/SWM_Energy_meter/energy_imported/config, payload={"device_class":"energy","state_class":"total","name":"SWM_Energy_meter Energy imported","state_topic":"homeassistant/sensor/SWM_Energy_meter/state","availability_topic":"homeassistant/sensor/SWM_Energy_meter/availability","value_template":"{{value_json.energy_imported}}","unit_of_measurement":"kWh","unique_id":"SWM_Energy_meter_energy_imported","device":{"identifiers":["SWM_Energy_meter"],"name":"SWM_Energy_meter","model":"E220", "manufacturer":"Landis+Gyr"},"icon":"mdi:home-import-outline"}
2023-10-26 22:14:20,068 | INFO    | mqtt_device.py line=113 | publish config topic=homeassistant/sensor/SWM_Energy_meter/energy_exported/config, payload={"device_class":"energy","state_class":"total","name":"SWM_Energy_meter Energy exported","state_topic":"homeassistant/sensor/SWM_Energy_meter/state","availability_topic":"homeassistant/sensor/SWM_Energy_meter/availability","value_template":"{{value_json.energy_exported}}","unit_of_measurement":"kWh","unique_id":"SWM_Energy_meter_energy_exported","device":{"identifiers":["SWM_Energy_meter"],"name":"SWM_Energy_meter","model":"E220", "manufacturer":"Landis+Gyr"},"icon":"mdi:home-export-outline"}
2023-10-26 22:14:20,076 | DEBUG   | mqtt_device.py line=149 | Message received: topic='homeassistant/sensor/SWM_Energy_meter/command', message='setup'
2023-10-26 22:14:20,077 | DEBUG   | mqtt_device.py line=149 | Message received: topic='homeassistant/sensor/SWM_Energy_meter/command', message='setup'
2023-10-26 22:14:21,181 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 0, 'energy_exported': 0}
2023-10-26 22:14:21,182 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 0}
2023-10-26 22:14:21,182 | DEBUG   | sml_to_mqtt.py line=125 | change=True, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:14:21,183 | DEBUG   | mqtt_device.py line=66 | (0, 7) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-26 22:14:21,183 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:24:21,268 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:24:21,270 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:24:21,272 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:34:21,393 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:34:21,394 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:34:21,395 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:44:21,426 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:44:21,427 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:44:21,428 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:54:21,555 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:54:21,556 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 22:54:21,557 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:04:21,684 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:04:21,685 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:04:21,687 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:14:21,815 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:14:21,815 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:14:21,816 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:14:21,817 | DEBUG   | mqtt_device.py line=66 | (0, 8) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
